Jenis Budidaya Pembesaran,Provinsi,Kabupaten/Kota,Jenis Ikan,Tahun,Volume Produksi,Nilai Produksi
KOLAM AIR TENANG,JAWA TENGAH,KOTA PEKALONGAN,LELE,2020,"91,403 "," Rp1,645,254,000 "
KOLAM AIR TENANG,JAWA TENGAH,KOTA SALATIGA,LELE,2020,"710,988 "," Rp11,375,808,000 "
KOLAM AIR TENANG,JAWA TENGAH,KOTA SEMARANG,LELE,2020,"145,877 "," Rp2,506,952,500 "
KOLAM AIR TENANG,JAWA TENGAH,KOTA SURAKARTA,LELE,2020,"34,873 "," Rp557,968,000 "
KOLAM AIR TENANG,JAWA TENGAH,KOTA TEGAL,LELE,2020,"16,365 "," Rp278,205,000 "
KOLAM AIR TENANG,JAWA TENGAH,KUDUS,LELE,2020,"1,374,073 "," Rp22,803,286,100 "
KOLAM AIR TENANG,JAWA TENGAH,MAGELANG,LELE,2020,"4,997,570 "," Rp79,961,120,000 "
KOLAM AIR TENANG,JAWA TENGAH,PATI,LELE,2020,"11,578,586 "," Rp202,625,255,000 "
KOLAM AIR TENANG,JAWA TENGAH,PEKALONGAN,LELE,2020,"915,593 "," Rp15,565,081,000 "
KOLAM AIR TENANG,JAWA TENGAH,PEMALANG,LELE,2020,"1,811,400 "," Rp30,301,550,000 "
KOLAM AIR TENANG,JAWA TENGAH,PURBALINGGA,LELE,2020,"2,300,832 "," Rp35,662,896,000 "
KOLAM AIR TENANG,JAWA TENGAH,PURWOREJO,LELE,2020,"510,066 "," Rp8,543,117,784 "
KOLAM AIR TENANG,JAWA TENGAH,REMBANG,LELE,2020,"978,759 "," Rp17,617,662,000 "
KOLAM AIR TENANG,JAWA TENGAH,SEMARANG,LELE,2020,"2,581,851 "," Rp46,473,318,000 "
KOLAM AIR TENANG,JAWA TENGAH,SRAGEN,LELE,2020,"6,659,750 "," Rp106,556,000,000 "
KOLAM AIR TENANG,JAWA TENGAH,SUKOHARJO,LELE,2020,"10,933,020 "," Rp174,928,320,000 "
KOLAM AIR TENANG,JAWA TENGAH,TEGAL,LELE,2020,"878,032 "," Rp14,926,544,000 "
KOLAM AIR TENANG,JAWA TENGAH,TEMANGGUNG,LELE,2020,"4,505,940 "," Rp76,600,980,000 "
KOLAM AIR TENANG,JAWA TENGAH,WONOGIRI,LELE,2020,"520,511 "," Rp8,328,176,000 "
KOLAM AIR TENANG,JAWA TENGAH,WONOSOBO,LELE,2020,"4,033,138 "," Rp52,430,794,000 "
KOLAM AIR TENANG,JAWA TIMUR,BANGKALAN,LELE,2020,"413,270 "," Rp7,025,590,000 "
KOLAM AIR TENANG,JAWA TIMUR,BANYUWANGI,LELE,2020,"4,569,227 "," Rp68,538,405,000 "
KOLAM AIR TENANG,JAWA TIMUR,BLITAR,LELE,2020,"9,943,300 "," Rp129,262,900,000 "
KOLAM AIR TENANG,JAWA TIMUR,BOJONEGORO,LELE,2020,"2,845,533 "," Rp45,528,528,000 "
KOLAM AIR TENANG,JAWA TIMUR,BONDOWOSO,LELE,2020,"685,612 "," Rp15,083,464,000 "
KOLAM AIR TENANG,JAWA TIMUR,GRESIK,LELE,2020,"1,219,956 "," Rp16,601,245,000 "
KOLAM AIR TENANG,JAWA TIMUR,JEMBER,LELE,2020,"7,525,300 "," Rp112,879,500,000 "
KOLAM AIR TENANG,JAWA TIMUR,JOMBANG,LELE,2020,"7,292,800 "," Rp114,976,300,000 "
KOLAM AIR TENANG,JAWA TIMUR,KEDIRI,LELE,2020,"15,948,100 "," Rp217,706,800,000 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA BATU,LELE,2020,"21,664 "," Rp368,288,000 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA BLITAR,LELE,2020,"96,026 "," Rp1,440,390,000 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA KEDIRI,LELE,2020,"122,650 "," Rp1,904,675,002 "
